@relation hw5.2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric

@data
81,23,0,33,21,4,18,19,21,30,24,4
10,45,13,17,83,7,19,3,38,0,5,0
22,20,42,18,18,2,91,24,0,5,53,7
83,14,20,42,9,10,24,18,15,15,28,5
9,40,21,1,71,1,9,8,34,12,4,23
12,50,3,9,87,15,10,17,35,7,16,3
13,19,85,23,3,13,31,10,15,53,0,19
6,1,81,6,19,14,21,9,2,58,14,4
3,21,20,73,22,34,18,34,88,6,2,13
69,19,4,36,11,12,3,24,13,29,15,16
84,11,9,47,9,14,9,1,24,26,27,10
2,23,6,80,11,34,10,36,102,3,23,20
22,14,91,15,11,12,33,12,6,51,5,21
63,0,0,39,4,17,19,5,7,19,12,4
22,8,76,3,22,21,26,18,16,50,21,20
24,4,19,60,20,26,24,35,98,13,2,3
12,55,24,10,78,15,9,3,29,11,7,23
15,6,20,63,1,29,19,50,99,10,22,23
19,40,6,18,91,19,20,19,30,17,14,24
19,20,42,11,10,9,104,15,22,10,68,3
6,16,88,23,22,14,37,18,14,53,6,21
5,11,44,3,30,2,92,16,22,21,51,22
23,11,35,7,18,16,83,12,0,15,53,7
80,14,1,38,19,10,13,4,0,33,27,8
1,11,91,23,14,9,37,19,17,53,9,12
16,42,22,23,70,20,23,17,40,3,0,18
13,8,92,1,9,21,31,13,19,56,7,19
6,16,34,4,24,15,92,16,22,2,60,12
6,24,43,2,34,9,88,0,2,24,54,9
14,1,12,64,9,17,8,30,89,10,3,16
0,3,34,21,13,11,88,16,13,20,68,12
22,19,46,4,11,17,100,20,24,12,51,17
13,19,51,4,20,4,93,23,3,17,73,13
64,1,18,36,24,5,4,1,13,31,29,14
16,18,86,8,23,20,43,11,1,68,2,21
3,3,43,10,16,8,98,4,19,23,52,17
63,3,20,51,0,4,12,7,19,16,20,18
70,9,20,33,15,20,4,0,2,22,23,12
9,8,30,9,15,6,104,14,18,11,58,24
19,5,87,15,10,7,25,14,2,66,10,16
10,10,42,3,15,10,80,10,17,9,63,0
0,20,54,2,13,8,97,11,2,14,53,0
22,20,5,79,16,31,24,44,92,6,8,1
1,5,19,60,8,22,6,41,100,8,24,22
71,22,0,44,21,24,20,8,12,24,14,21
11,10,42,23,28,10,93,21,13,21,66,13
7,57,18,0,88,13,15,11,36,22,19,7
3,18,4,66,4,17,12,33,101,22,9,24
9,13,30,8,21,21,90,24,22,13,56,12
2,20,41,4,18,5,86,5,20,14,62,11
9,10,89,6,10,8,29,14,17,69,16,24
15,42,22,17,75,6,10,5,20,11,19,20
8,5,76,9,17,6,26,8,5,67,10,1
17,19,40,5,32,18,102,13,16,6,54,18
4,45,7,14,77,13,20,3,24,5,11,6
4,41,16,11,84,5,22,13,38,11,18,19
78,14,2,48,20,19,12,17,7,17,32,9
75,19,10,41,15,3,17,20,20,22,18,8
9,13,0,61,15,12,17,33,104,16,9,19
3,15,74,7,7,14,22,4,1,52,5,9
11,22,74,11,24,4,43,15,3,61,18,2
23,52,17,6,71,11,13,14,28,7,22,11
21,17,38,3,15,5,84,15,12,10,56,8
8,15,39,11,22,13,84,1,1,12,70,21
16,8,74,20,22,2,21,12,7,62,4,7
7,58,8,14,88,22,6,15,27,5,17,12
9,9,24,76,15,11,21,52,98,15,24,11
6,21,23,81,19,10,13,36,89,10,15,1
12,23,90,24,19,0,23,14,11,70,18,7
11,3,74,2,6,20,31,5,18,67,23,19
24,0,93,13,16,5,43,4,7,64,5,14
5,2,84,15,8,22,44,20,4,51,16,23
12,58,3,4,73,8,23,9,41,24,9,0
11,4,85,0,13,0,37,23,8,56,22,8
3,6,47,14,20,20,88,17,21,4,56,13
23,9,76,8,12,13,25,24,4,63,23,12
2,19,22,66,3,18,14,50,99,22,24,21
80,23,18,31,17,17,13,5,6,25,29,18
13,64,9,0,91,16,0,17,30,4,0,1
17,9,20,81,12,31,15,44,101,15,10,10
9,59,23,9,94,14,19,23,20,2,7,2
24,22,84,14,8,17,25,15,6,71,12,20
76,21,9,32,3,10,22,12,10,16,11,19
20,48,19,12,88,12,6,3,38,1,1,1
66,21,17,41,9,2,24,22,15,12,25,5
1,2,93,2,17,1,35,11,14,74,7,19
1,40,6,2,79,22,18,0,24,22,23,3
18,2,24,66,2,16,0,52,81,5,23,2
19,2,2,69,2,30,1,54,89,20,15,19
20,20,84,0,18,17,43,17,4,68,12,0
82,7,16,37,17,12,8,15,5,30,16,1
20,12,17,70,2,29,10,40,86,13,1,22
10,24,52,9,33,23,93,21,7,9,56,20
23,14,89,19,11,7,37,0,21,51,15,19
24,17,30,20,26,14,96,16,15,6,59,22
9,13,92,10,24,19,40,17,23,53,1,1
82,18,3,38,24,16,3,5,6,21,10,19
8,50,24,21,84,10,6,22,23,3,0,6
12,63,20,2,90,6,0,13,42,19,20,1
7,4,21,64,1,16,5,36,100,12,1,20
4,47,18,15,78,11,16,23,23,11,5,2
4,10,37,1,32,1,92,4,8,12,61,2
83,13,24,39,21,23,12,23,21,14,15,24
6,7,91,4,19,2,26,11,16,72,13,9
10,7,70,11,13,8,20,10,12,66,6,8
23,12,91,5,24,16,28,8,11,57,21,1
14,14,10,69,13,29,10,32,98,17,5,21
5,12,39,15,18,20,93,9,13,14,56,15
18,40,23,24,82,17,13,20,27,5,9,20
3,20,30,0,22,17,100,13,17,15,60,2
17,24,5,75,21,16,6,48,102,5,13,0
0,51,22,5,82,20,8,20,21,8,7,2
24,5,31,2,16,15,100,21,11,6,50,6
20,24,7,82,3,33,5,33,88,9,7,7
76,12,4,42,11,1,19,22,5,15,14,6
17,8,14,73,17,24,19,48,88,4,15,5
15,12,92,4,18,13,20,24,22,51,13,5
19,62,1,5,89,19,13,4,22,7,8,7
12,16,39,20,33,10,88,13,17,5,64,4
20,53,4,8,84,9,20,23,43,19,2,12
17,23,32,4,17,6,80,8,10,17,70,20
63,3,3,53,7,21,0,5,5,31,19,9
3,13,80,8,8,24,43,11,22,74,10,14
19,23,52,20,27,8,81,18,11,12,71,12
17,21,73,6,6,19,33,4,5,62,8,17
18,46,13,1,82,15,5,7,21,4,7,14
0,13,71,20,7,0,27,4,1,66,9,6
0,59,18,14,83,4,1,22,35,3,4,7
9,64,15,1,84,4,18,18,31,16,12,24
81,2,15,32,16,9,8,10,15,21,21,7
19,19,73,4,6,16,24,8,24,63,11,19
69,5,22,47,22,15,4,13,18,15,19,5
24,11,9,68,23,20,7,40,85,14,13,8
10,0,40,17,34,16,93,18,3,23,63,11
2,14,52,4,22,19,90,6,15,11,63,21
4,63,13,22,90,16,15,2,42,12,5,1
